Column I Duties & Functions,"Column II Departments, Statutory Institutions & Public Corporations",Column III Laws and Ordinance to be Implemented
"1. Formulation, implementation,
monitoring and evaluation
of policies, programmes and
projects, in relation to the
subject of Defence, and those
subjects that come under the
purview of Departments,
Statutory Institutions and Public
Corporations listed in Column
II based on the national policies
implemented by the government.","1. Office of the Chief of Defence
Staff","• Chief of Defence Staff Act,
No. 35 of 2009"
"2. Provision of public services
under the purview of the
Ministry in an efficient and
people friendly manner.",2. Sri Lanka Army,• Army Act No. 17 of 1949
"3. Reforming all systems and
procedures using modern
management techniques and
technology, thus ensuring that
the functions of the Ministry
are fulfilled while eliminating
corruption and waste.",3. Sri Lanka Navy,• Navy Act No. 34 of 1950
4. Ensuring national security.,4. Sri Lanka Air Force,• Air Force Act No. 41 of 1949
5. Maintenance of internal security.,5. State Intelligence Service,"• Extradition Law, No. 8 of 1977"
"6. Maintenance of national
and internal security-related
intelligence services.",6. Civil Security Department,"• Explosives Act, No. 21 of 1956"
"7. Maintenance of relations with
visiting Armed Forces","7. Department of Multipurpose
Development Task Force","• Firearms Ordinance No. 33 of
1916"
"8. Extension of cooperation to
international humanitarian
operations.",8. National Cadet Corps,"• Firing Ranges and Military
Training Act, No. 24 of 1951"
"9. Matters relating to explosives
and firearms","9. National Authority for the
Implementation of Chemical
Weapons Convention","• Mobilization and Supplementary
Forces Act, No. 40 of 1985"
"10. Matters relating to maintenance
of light houses (other than those
belonging to the Ports Authority)","10. Sir John Kotelawala Defence
University","• Offensive Weapons Act, No. 18
of 1966"
,"11. Defence Services Command and
Staff College","• Piracy Act, No. 9 of 2001"
,"12. Miloda Institute -
as a Faculty of Kotelawala
Defence University","• Prevention of Terrorism Act,
No. 48 of 1979"
,13. Defence Services School,"• Public Security Ordinance,
No. 25 of 1947"
,"14. Defence Research and
Development Centre","• Chemical Weapons Convention
Act, No. 58 of 2007"
,"15. Institute of National Security
Studies","• Sir John Kotelawala Defence
Academy Act, No. 68 of 1981"
,16. National Defence College,"• Defence Services Command and
Staff College Act, No. 5 of 2008"
,17. Rakna Arakshana Lanka Ltd.,"• Suppression of Terrorist
Bombings Act, No. 11 of 1999"
,"18. Coast Guard Department of Sri
Lanka","• Suppression of Unlawful Acts
Against the Safety of Maritime
Navigation Act, No. 42 of 2000"
